PLAN START DATE;BATCH NO;DFF1;DFF2;DFF3;ITEM CODE;ITEM DESC;STATUS;PLAN QTY BOX;ACTUAL QTY BOX
10/01/2022;F2201000195;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
10/01/2022;F2201000196;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000197;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
10/01/2022;F2201000198;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000199;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
04/01/2022;F2201000200;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000201;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000202;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000203;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
04/01/2022;F2201000204;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000205;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000206;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000207;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000208;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000209;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000210;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000211;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
04/01/2022;F2201000212;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;81
04/01/2022;F2201000213;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;81
04/01/2022;F2201000214;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000215;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000216;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000217;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000218;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000219;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000220;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000221;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;81
04/01/2022;F2201000222;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000223;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000224;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;85
04/01/2022;F2201000225;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000226;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000227;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000228;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
04/01/2022;F2201000229;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000230;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000231;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000232;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
04/01/2022;F2201000233;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
04/01/2022;F2201000234;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
04/01/2022;F2201000235;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;83
10/01/2022;F2201000236;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
10/01/2022;F2201000237;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000238;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;82
10/01/2022;F2201000239;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;81
10/01/2022;F2201000240;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
10/01/2022;F2201000241;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;84
10/01/2022;F2201000242;-;;A;1101909331;NS ASO PLS 14GX18PX40S;Closed;84,33;85
